GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count
ABCF1	2799.0	3.0	8.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
ABCF2	3702.3333333333335	2.0	6.0	2.0	1.0	7.0	6.0	0.0	2.0	0.0	1.0	0.0	7.0	0.0
ABCF3	1657.3333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG1	213.66666666666663	27.0	20.0	3.0	0.0	20.0	2.0	18.0	0.0	3.0	0.0	0.0	2.0	18.0
ABCG2	291.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABCG4	0.3333333333333333													
ABCG5	11.666666666666666													
ABCG8	40.5													
ABHD1	255.66666666666663													
ABHD10	612.3333333333334	15.0	10.0	10.0	3.0	17.0	7.0	3.0	6.0	4.0	1.0	2.0	10.0	7.0
ABHD11	266.6666666666667													
ABHD11-AS1	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABHD12	68.83333333333333	3.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABHD12B	66.5	5.0	5.0	0.0	1.0	5.0	5.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0
ABHD13	457.0													
ABHD14A	296.6666666666667													
ABHD14A-ACY1	292.8333333333333													
ABHD14B	1117.1666666666667													
ABHD15	4880.333333333333	2.0	2.0	10.0	2.0	8.0	2.0	0.0	10.0	0.0	2.0	0.0	8.0	0.0
ABHD16A	1019.3333333333334	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ABHD16B	0.5													
ABHD17A	44.16666666666666	2.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0
ABHD17B	289.6666666666667													
ABHD17C	21.166666666666668													
ABHD18	839.0													
ABHD2	2051.1666666666665	51.0	37.0	11.0	3.0	44.0	25.0	12.0	6.0	5.0	0.0	3.0	29.0	15.0
ABHD3	513.6666666666666													
ABHD4	1327.3333333333333	5.0	11.0	9.0	2.0	13.0	9.0	2.0	7.0	2.0	0.0	2.0	11.0	2.0
ABHD5	536.8333333333334													
ABHD6	66.0													
ABHD8	9.666666666666666													
ABI1	2329.333333333333													
ABI1P1	0.1666666666666666													
ABI2	1063.0													
ABI3	812.5													
ABI3BP	43.333333333333336	1.0	0.0	0.0	0.0	0.0								
ABITRAM	260.3333333333333													
ABL1	268.0	1.0	1.0	0.0	0.0	1.0								
ABL2	582.1666666666666	3.0	1.0	1.0	1.0	1.0								
ABLIM1	6103.666666666667	27.0	15.0	3.0	1.0	16.0	13.0	2.0	2.0	1.0	0.0	1.0	13.0	3.0
ABLIM2	10.666666666666666													
ABLIM3	19.5	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABO	145.5													
ABR	620.5	1.0	0.0	0.0	0.0	0.0								
ABRA	41.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABRACL	4704.333333333333													
ABRAXAS1	437.1666666666667													
ABRAXAS2	525.0													
ABT1	2059.833333333333	10.0	24.0	2.0	3.0	24.0	22.0	2.0	2.0	0.0	3.0	0.0	22.0	2.0
ABT1P1	0.0													
ABTB1	1636.0													
ABTB2	55.5	1.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0
AC000078.1	0.0													
AC000081.1	1.5													
AC000089.1	5.666666666666667													
AC000095.1	1.1666666666666667													
AC000120.3	6.333333333333333													
AC000120.4	0.0													
AC000367.1	13.5													
AC001226.2	198.0													
AC002059.3	3.1666666666666665													
AC002075.2	4.5													
AC002094.3	0.0													
AC002310.3	1.1666666666666667													
AC002381.1	0.3333333333333333													
AC002472.2	46.66666666666666													
AC002472.3	1.6666666666666667													
AC002543.1	32.0													
AC002558.1	74.5													
AC002984.1	0.5													
AC003002.2	33.0													
AC003002.3	11.333333333333334													
AC003005.1	11.166666666666666													
AC003006.1	18.166666666666668													
AC003042.2	69.66666666666667													
AC003071.1	4.666666666666667													
AC003072.1	43.66666666666666													
AC003989.1	0.0													
AC003989.2	0.6666666666666666													
AC004024.1	30.166666666666668													
AC004057.1	85.0													
AC004076.1	2.6666666666666665													
AC004129.2	2.1666666666666665													
AC004217.2	0.6666666666666666													
AC004223.1	1.1666666666666667													
AC004224.1	1.5													
AC004381.3	0.1666666666666666													
AC004381.4	0.1666666666666666													
AC004383.1	2.1666666666666665													
AC004386.1	5.5													
AC004453.1	9.166666666666666													
AC004461.2	1.5													
AC004486.1	1.5													
AC004552.1	3.333333333333333													
AC004556.3	8.333333333333334													
AC004584.2	3.333333333333333													
AC004593.2	0.8333333333333334													
AC004678.1	0.3333333333333333													
AC004687.2	23.166666666666668													
AC004696.1	67.5													
AC004706.2	0.5													
AC004801.1	32.0													
AC004801.2	1.1666666666666667													
AC004805.1	0.0													
AC004812.1	0.0													
AC004832.3	2.833333333333333													
AC004858.1	2.0													
AC004865.1	36.66666666666666													
AC004884.1	5.833333333333333													
AC004890.1	207.66666666666663													
AC004890.2	29.0													
AC004890.3	1.1666666666666667													
AC004898.1	2.6666666666666665													
AC004910.1	69.66666666666667													
AC004922.1	1352.0													
AC004923.1	9.0													
AC004951.2	56.5													
AC004951.3	7.666666666666667													
AC004967.1	41.333333333333336													
AC004975.1	16.833333333333332													
AC004980.3	32.166666666666664													
AC004980.6	187.0													
AC004980.7	4.0													
AC004987.3	0.6666666666666666													
AC004997.1	57.333333333333336													
AC005014.1	0.6666666666666666													
AC005020.1	1.6666666666666667													
AC005041.1	316.3333333333333													
AC005070.1	1.1666666666666667													
AC005070.2	0.0													
AC005077.1	8.0													
AC005077.4	0.5													
AC005084.1	0.0													
AC005086.3	22.33333333333333													
AC005086.4	179.0													
AC005086.5	13.5													
AC005088.1	0.6666666666666666													
AC005094.1	0.8333333333333334													
AC005099.1	1.6666666666666667													
AC005104.2	2.333333333333333													
AC005154.1	0.3333333333333333													
AC005154.2	58.0													
AC005154.5	34.5													
AC005156.1	2.1666666666666665													
AC005165.2	1.8333333333333333													
AC005176.1	47.833333333333336													
AC005183.1	11.0													
AC005189.1	2.0													
AC005230.1	0.1666666666666666													
AC005244.1	2.6666666666666665													
AC005252.4	42.0													
AC005258.1	1.6666666666666667													
AC005262.1	2.5													
AC005300.1	4.0													
AC005324.3	16.833333333333332													
AC005351.1	0.0													
AC005410.1	21.33333333333333													
AC005476.1	12.333333333333334													
AC005515.1	5.0													
AC005520.3	23.33333333333333													
AC005531.1	87.5													
AC005587.1	6.333333333333333													
AC005632.4	4.333333333333333													
AC005670.2	201.83333333333331													
AC005682.1	1.0													
AC005702.1	93.33333333333331													
AC005702.2	0.6666666666666666													
AC005726.1	15.166666666666666													
AC005776.1	30.166666666666668													
AC005828.6	2.833333333333333													
AC005828.7	2.1666666666666665													
AC005832.4	1063.5													
AC005833.1	1032.6666666666667													
AC005840.1	2.333333333333333													
AC005840.3	0.1666666666666666													
AC005865.1	34.666666666666664													
AC005912.1	7.333333333333333													
AC005972.2	1.1666666666666667													
AC006001.3	1520.5													
AC006001.4	20.166666666666668													
AC006023.2	4.166666666666667													
AC006028.1	0.5													
AC006030.1	6.833333333333333													
AC006033.1	12.833333333333334													
AC006042.2	11.0													
AC006064.6	53.833333333333336													
AC006077.1	0.0													
AC006116.8	58.16666666666666													
AC006122.1	6.0													
AC006144.1	28.5													
AC006195.1	3.0													
AC006254.1	69.16666666666667													
AC006254.3	0.0													
AC006270.2	1.6666666666666667													
AC006349.1	3.0													
AC006445.1	1.6666666666666667													
AC006445.2	7.666666666666667													
AC006449.4	85.83333333333333													
AC006453.3	152.5													
AC006480.2	1.8333333333333333													
AC006499.1	0.0													
AC006504.3	6.833333333333333													
AC006509.1	49.16666666666666													
AC006518.4	13.666666666666666													
AC006518.5	1.1666666666666667													
AC006529.1	22.0													
AC006539.1	2.833333333333333													
AC006539.2	0.0													
AC006946.1	0.0													
AC006978.1	222.0													
AC006978.2	0.1666666666666666													
AC007000.2	41.833333333333336													
AC007000.3	17.833333333333332													
AC007016.1	2.5													
AC007040.2	74.83333333333333													
AC007066.1	4.5													
AC007068.1	751.5													
AC007151.1	4.166666666666667													
AC007160.1	2.333333333333333													
AC007161.1	3.5													
AC007161.2	0.8333333333333334													
AC007182.2	2.6666666666666665													
AC007192.1	7.5													
AC007204.1	0.0													
AC007207.1	0.0													
AC007224.1	0.0													
AC007225.1	0.0													
AC007229.1	3.1666666666666665													
AC007238.1	1.5													
AC007253.1	0.0													
AC007262.1	0.0													
AC007279.1	0.8333333333333334													
AC007312.1	0.0													
AC007318.3	54.66666666666666													
AC007325.1	29.83333333333333													
AC007325.2	0.0													
AC007325.4	11.166666666666666													
AC007326.4	745.1666666666666													
AC007342.3	77.66666666666667													
AC007347.2	17.166666666666668													
AC007365.2	2.833333333333333													
AC007386.1	3.0													
AC007424.1	18.33333333333333													
AC007458.1	0.0													
AC007494.1	12.333333333333334													
AC007537.1	10.666666666666666													
AC007546.3	198.5													
AC007551.2	0.0													
AC007599.1	0.0													
AC007610.4	0.3333333333333333													
AC007618.1	2.6666666666666665													
AC007619.2	0.0													
AC007663.1	0.0													
AC007683.1	16.166666666666668													
AC007685.1	7.166666666666667													
AC007686.1	9.666666666666666													
AC007688.2	15.333333333333334													
AC007731.2	10.5													
AC007738.1	2.333333333333333													
AC007834.2	1.5													
AC007842.1	4.333333333333333													
AC007906.2	14.5													
AC007919.1	2.6666666666666665													
AC007954.1	10.833333333333334													
AC007956.2	1.8333333333333333													
AC008012.1	203.16666666666663													
AC008013.2	50.16666666666666													
AC008013.3	0.1666666666666666													
AC008013.4	0.5													
AC008026.1	1.1666666666666667													
AC008026.2	1.8333333333333333													
AC008038.1	230.83333333333331													
AC008040.2	0.1666666666666666													
AC008072.1	18.166666666666668													
AC008073.3	47.5													
AC008105.2	16.0													
AC008132.1	101.16666666666669													
AC008134.1	1.8333333333333333													
AC008147.3	0.6666666666666666													
AC008264.1	1.1666666666666667													
AC008267.2	54.833333333333336													
AC008267.3	6.666666666666667													
AC008267.4	8.833333333333334													
AC008267.6	8.833333333333334													
AC008267.7	1.0													
AC008277.2	0.6666666666666666													
AC008417.1	9.0													
AC008429.4	3.1666666666666665													
AC008481.1	4.666666666666667													
AC008481.2	11.666666666666666													
AC008489.1	1.8333333333333333													
AC008494.1	0.0													
AC008498.1	0.6666666666666666													
AC008507.1	18.0													
AC008555.6	0.6666666666666666													
AC008565.1	19.0													
AC008567.1	30.666666666666668													
AC008575.1	0.0													
AC008581.2	8.333333333333334													
AC008608.1	24.33333333333333													
AC008626.1	8.333333333333334													
AC008626.2	6.833333333333333													
AC008638.2	2.833333333333333													
AC008676.2	0.3333333333333333													
AC008676.3	17.5													
AC008677.2	2.333333333333333													
AC008687.4	0.0													
AC008716.1	1.6666666666666667													
AC008750.8	36.0													
AC008751.1	16.666666666666668													
AC008752.4	1.3333333333333333													
AC008753.1	47.0													
AC008758.1	126.0													
AC008758.4	74.16666666666667													
AC008758.6	47.16666666666666													
AC008763.2	112.0													
AC008764.1	0.1666666666666666													
AC008770.2	35.5													
AC008799.1	9.5													
AC008802.1	11.333333333333334													
AC008813.1	3.5													
AC008850.2	7.833333333333333													
AC008868.1	1.0													
AC008878.2	0.0													
AC008953.1	0.8333333333333334													
AC008958.1	4.666666666666667													
AC008982.1	74.5													
AC009022.2	15.5													
AC009027.1	1.1666666666666667													
AC009053.2	454.0													
AC009075.2	0.0													
AC009078.2	1.0													
AC009091.1	0.5													
AC009093.3	130.5													
AC009093.8	67.66666666666667													
AC009093.9	343.0													
AC009108.1	4.0													
AC009117.1	3.1666666666666665													
AC009120.1	64.5													
AC009133.6	0.0													
AC009153.1	36.66666666666666													
AC009163.5	82.33333333333333													
AC009220.1	3.0													
AC009220.2	40.833333333333336													
AC009220.3	1.1666666666666667													
AC009237.3	17.0													
AC009245.1	1.5													
AC009248.1	0.5													
AC009268.1	0.0													
AC009299.1	0.8333333333333334													
AC009303.1	0.5													
AC009362.1	1.3333333333333333													
AC009452.1	14.0													
AC009474.2	7.0													
AC009533.1	135.83333333333334													
AC009533.3	4.5													
AC009542.2	9.5													
AC009570.2	16.0													
AC009690.1	16.166666666666668													
AC009779.4	344.5													
AC009879.1	60.333333333333336													
AC009879.2	7.0													
AC009879.3	25.666666666666668													
AC009927.1	3.1666666666666665													
AC009948.1	0.3333333333333333													
AC009961.2	4.333333333333333													
AC009963.2	2.5													
AC009977.1	0.0													
AC010087.1	0.0													
AC010099.1	4.0													
AC010132.3	327.8333333333333													
AC010182.1	1.1666666666666667													
AC010186.2	2895.833333333333													
AC010197.2	25.0													
AC010203.1	23.83333333333333													
AC010240.3	50.833333333333336													
AC010287.1	6.666666666666667													
AC010301.1	1.6666666666666667													
AC010319.1	277.8333333333333													
AC010323.1	3.6666666666666665													
AC010325.1	16.666666666666668													
AC010326.2	143.5													
AC010326.4	282.5													
AC010329.2	41.16666666666666													
AC010329.3	1.3333333333333333													
AC010332.3	55.5													
AC010343.1	3.6666666666666665													
AC010409.1	2.5													
AC010422.3	118.83333333333331													
AC010422.6	767.6666666666666													
AC010422.8	1404.3333333333333													
AC010442.2	0.5													
AC010469.1	90.0													
AC010469.2	4.333333333333333													
AC010522.1	24.33333333333333													
AC010531.1	0.0													
AC010542.3	5.666666666666667													
AC010547.4	23.83333333333333													
AC010614.1	2.5													
AC010615.1	15.833333333333334													
AC010618.1	6.833333333333333													
AC010619.2	21.666666666666668													
AC010627.1	6.333333333333333													
AC010653.1	0.8333333333333334													
AC010653.3	1.1666666666666667													
AC010655.3	2.0													
AC010677.1	0.6666666666666666													
AC010683.1	2.0													
AC010724.2	2.333333333333333													
AC010867.1	40.16666666666666													
AC010886.1	37.833333333333336													
AC010970.1	6352.5													
AC011043.1	387.8333333333333													
AC011043.3	5.166666666666667													
AC011247.2	0.0													
AC011290.2	1.8333333333333333													
AC011295.1	7740.0													
AC011295.2	1.1666666666666667													
AC011330.1	49.16666666666666													
AC011330.3	0.6666666666666666													
AC011342.1	26.33333333333333													
AC011406.1	0.3333333333333333													
AC011416.2	2.333333333333333													
AC011444.4	3.6666666666666665													
AC011447.4	0.0													
AC011448.1	401.1666666666667													
AC011451.2	0.8333333333333334													
AC011458.1	2.5													
AC011458.2	1.1666666666666667													
AC011462.1	332.5													
AC011467.4	2.333333333333333													
AC011475.1	310.0													
AC011476.11	85.16666666666667													
AC011487.1	2.333333333333333													
AC011487.2	52.5													
AC011495.1	8.5													
AC011497.2	10.0													
AC011498.4	25.33333333333333													
AC011498.5	6.5													
AC011499.1	0.0													
AC011503.3	0.1666666666666666													
AC011506.1	1.6666666666666667													
AC011511.1	28.5													
AC011511.4	146.33333333333334													
AC011611.5	9.0													
AC011816.1	0.5													
AC011825.1	1.8333333333333333													
AC011891.3	13.333333333333334													
AC011921.3	25.83333333333333													
AC011933.1	51.333333333333336													
AC011939.1	2702.5													
AC011979.1	8.333333333333334													
AC012065.2	4.5													
AC012066.1	0.0													
AC012158.1	28.33333333333333													
AC012170.1	1.0													
AC012184.2	71.16666666666667													
AC012186.1	0.0													
AC012213.5	12.666666666666666													
AC012254.2	303.3333333333333													
AC012254.4	9.666666666666666													
AC012309.1	170.16666666666666													
AC012314.13	434.0													
AC012358.3	35.0													
AC012433.1	2.6666666666666665													
AC012435.2	198.0													
AC012441.1	21.5													
AC012441.2	13.0													
AC012488.2	2.833333333333333													
AC012513.2	4.333333333333333													
AC012519.1	3.5													
AC012569.1	2.5													
AC012618.1	0.6666666666666666													
AC012618.2	51.66666666666666													
AC012618.3	12.166666666666666													
AC012651.1	26.33333333333333													
AC013244.2	5.333333333333333													
AC013262.1	1.1666666666666667													
AC013268.1	0.1666666666666666													
AC013271.1	18.0													
AC013355.1	0.1666666666666666													
AC013356.1	6.333333333333333													
AC013394.1	549.5													
AC013399.1	3.8333333333333335													
AC013404.1	6.833333333333333													
AC013429.1	2.1666666666666665													
AC013439.1	0.1666666666666666													
AC013452.2	2.1666666666666665													
AC013467.3	0.5													
AC013470.2	14.666666666666666													
AC013474.1	39.333333333333336													
AC013476.1	1.5													
AC013489.1	7.333333333333333													
AC013553.1	3.8333333333333335													
AC013553.2	0.0													
AC015688.4	50.5													
AC015720.3	3.6666666666666665													
AC015802.6	1395.6666666666667													
AC015813.2	107.16666666666669													
AC015818.5	5.833333333333333													
AC015849.6	0.3333333333333333													
AC015910.1	9.833333333333334													
AC015911.4	4.666666666666667													
AC015911.7	7.666666666666667													
AC015911.8	54.16666666666666													
AC015912.2	1.5													
AC015977.1	1.6666666666666667													
AC016027.5	0.0													
AC016065.2	60.66666666666666													
AC016546.1	2.333333333333333													
AC016559.2	3.1666666666666665													
AC016559.3	64.66666666666667													
AC016582.1	3.8333333333333335													
AC016582.2	30.33333333333333													
AC016582.3	329.8333333333333													
AC016629.3	102.33333333333331													
AC016687.1	3.0													
AC016700.1	3.5													
AC016734.1	0.6666666666666666													
AC016739.1	18.0													
AC016769.1	3.8333333333333335													
AC016769.3	2.333333333333333													
AC016831.3	0.1666666666666666													
AC016894.1	12.0													
AC016954.1	4.833333333333333													
AC016957.1	1.8333333333333333													
AC016999.2	3.1666666666666665													
AC017002.2	0.0													
AC017007.4	7.666666666666667													
AC017083.3	190.66666666666663													
AC017099.1	6.0													
AC017104.2	7.333333333333333													
AC017104.4	1.1666666666666667													
AC017104.5	1.8333333333333333													
AC018362.3	140.66666666666666													
AC018442.1	0.0													
AC018442.3	1.6666666666666667													
AC018475.1	3.1666666666666665													
AC018523.1	18.33333333333333													
AC018523.2	5.833333333333333													
AC018630.1	1.0													
AC018630.2	67.16666666666667													
AC018635.1	19.666666666666668													
AC018638.1	25.83333333333333													
AC018638.2	11.333333333333334													
AC018638.3	0.0													
AC018638.4	27.666666666666668													
AC018638.5	162.33333333333334													
AC018638.8	2.1666666666666665													
AC018644.1	80.16666666666667													
AC018695.1	1.6666666666666667													
AC018714.1	6.5													
AC018755.2	20.666666666666668													
AC018797.1	4.333333333333333													
AC018797.2	3.1666666666666665													
AC018865.2	1.0													
AC018868.1	1.0													
AC018868.2	1.1666666666666667													
AC018992.1	0.0													
AC019072.1	0.1666666666666666													
AC019084.1	4.166666666666667													
AC019117.4	3.8333333333333335													
AC019176.3	1.1666666666666667													
AC019181.1	1.5													
AC019206.1	3.8333333333333335													
AC019257.8	0.0													
AC019288.1	0.0													
AC020550.1	2.833333333333333													
AC020612.1	7.666666666666667													
AC020633.1	0.0													
AC020658.1	5.0													
AC020688.1	0.0													
AC020728.1	2.333333333333333													
AC020779.1	110.5													
AC020899.1	9.0													
AC020904.1	0.3333333333333333													
AC020904.2	8.333333333333334													
AC020910.3	0.6666666666666666													
AC020910.4	0.1666666666666666													
AC020914.5	11.166666666666666													
AC020915.1	22.0													
AC020915.5	116.33333333333331													
AC020917.1	40.333333333333336													
AC021006.2	1.6666666666666667													
AC021074.1	5.666666666666667													
AC021087.2	4.833333333333333													
AC021106.1	6.333333333333333													
AC021106.2	1.6666666666666667													
AC021148.1	1.1666666666666667													
AC021171.1	0.5													
AC021171.2	30.83333333333333													
AC021231.2	0.8333333333333334													
AC021443.3	2.0													
AC021660.3	0.3333333333333333													
AC021723.1	34.833333333333336													
AC022001.1	2.0													
AC022018.1	15.166666666666666													
AC022022.2	2.0													
AC022034.2	2.833333333333333													
AC022069.1	1.8333333333333333													
AC022080.2	67.66666666666667													
AC022137.3	228.33333333333331													
AC022149.1	34.666666666666664													
AC022182.3	4.5													
AC022215.1	0.8333333333333334													
AC022336.1	1.0													
AC022384.1	0.1666666666666666													
AC022400.4	7.333333333333333													
AC022400.7	68.83333333333333													
AC022414.1	1.0													
AC022415.2	280.0													
AC022432.1	2.333333333333333													
AC022447.4	4.833333333333333													
AC022493.1	0.1666666666666666													
AC022493.2	0.3333333333333333													
AC022506.1	79.33333333333333													
AC022730.2	4.0													
AC022748.2	2.0													
AC022826.1	38.66666666666666													
AC022826.2	40.16666666666666													
AC022916.4	2.1666666666666665													
AC022968.1	1.8333333333333333													
AC022973.2	1.0													
AC023050.1	1.0													
AC023050.3	5.0													
AC023050.5	7.833333333333333													
AC023051.2	1.1666666666666667													
AC023055.1	877.0													
AC023141.4	0.0													
AC023194.2	2.1666666666666665													
AC023206.1	0.6666666666666666													
AC023271.2	4.0													
AC023389.3	116.5													
AC023424.1	2.333333333333333													
AC023490.5	0.0													
AC023491.2	2.833333333333333													
AC023509.5	4.5													
AC023512.1	3.0													
AC023513.1	0.0													
AC023632.1	2.333333333333333													
AC023794.5	30.0													
AC023813.2	0.0													
AC023825.1	5.166666666666667													
AC023906.1	1.5													
AC023934.1	0.5													
AC024067.1	0.0													
AC024270.1	1.0													
AC024293.1	6.333333333333333													
AC024405.2	1.8333333333333333													
AC024451.1	3.1666666666666665													
AC024451.2	18.666666666666668													
AC024451.3	2.5													
AC024558.1	0.5													
AC024560.2	5.833333333333333													
AC024568.1	72.0													
AC024592.3	79.5													
AC024937.1	0.6666666666666666													
AC024940.2	5.5													
AC024940.3	12.333333333333334													
AC024940.4	5.5													
AC024940.7	28.0													
AC025030.1	1.3333333333333333													
AC025040.2	2.333333333333333													
AC025165.3	9.666666666666666													
AC025165.6	6.666666666666667													
