disease	CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	CD4_1M_50K_5kb_within_newbmap_CHiCAGO_peakm_PIR_intersect_RE	CD4_1M_50K_merged_reweighting_peakmatrix_score5_PIR_intersect_RE	ILC3_merged_bin5K_score5_PIR_intersect_RE	ILC_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE
Allergy	0.3281098864170919	0.5078810528198994	0.28538327204659963	2.6512067062665707	1.9796494332588057
Alopecia areata	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer disease and age of onset	0.02692589342577191	0.05120534964603362	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer s disease	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer s disease  cognitive decline	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer s disease  late onset	0.16201522243753047	0.2775665409684437	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer s disease or HDL levels  pleiotropy	0.12919181266096239	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alzheimer s disease or family history of Alzheimer s disease	0.1898427991127773	0.19950771337859	0.28538327204659963	0.13292325897282514	0.2031227503419761
Amyotrophic lateral sclerosis	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Ankylosing spondylitis	0.9813652539333599	0.6832839064705502	0.28538327204659963	0.10910243175381035	0.0704947736950667
Antineutrophil cytoplasmic antibody associated vasculitis	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Anxiety tension  special factor of neuroticism	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.540795926749968	0.38276570394763487
Aortic root size	0.16201522243753047	0.19686232281350227	0.28538327204659963	0.21807557628687838	0.2031227503419761
Asthma	3.297458982726286	4.7545772388040355	0.28538327204659963	3.78537379507536	4.0927517775397755
Asthma  adult onset	1.267675729252007	1.8371842785534318	0.28538327204659963	1.396924780653341	2.42739757346703
Asthma  childhood onset	3.0200761564433223	2.8235000233587235	0.28538327204659963	3.9771685860451744	4.507217609759278
Asthma  moderate or severe	1.4866953832297842	0.38687587968402687	0.28538327204659963	0.32506729109558563	0.8098919127895574
Asthma and hay fever	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Asthma onset  childhood vs adult	0.6495638934191341	0.476069255778163	0.28538327204659963	2.8951219214254142	1.009530415459364
Asthma or allergic disease  pleiotropy	0.9641998514777883	0.8392865251240815	0.28538327204659963	1.6780519706789614	1.0503699592979583
Atopic dermatitis	0.16201522243753047	0.1804332961296298	0.5259803458319297	0.21807557628687838	0.2031227503419761
Atopic march	0.3772591669807006	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Atrial fibrillation	0.0823859052628076	0.1804332961296298	0.19687552750447548	0.21807557628687838	0.2031227503419761
Attention deficit hyperactivity disorder	0.08255924355302695	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Attention deficit hyperactivity disorder or cannabis use	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Autism and major depressive disorder  MTAG	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Autism spectrum disorder  attention deficit hyperactivity disorder  bipolar disorder  major depressive disorder  and schizophrenia  combined	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.358274295639907	0.22228921008082694
Autism spectrum disorder or schizophrenia	0.2369736762742422	0.6159027481633409	0.28538327204659963	0.21807557628687838	0.2031227503419761
Automobile speeding propensity	0.015184914009228896	0.0394330735341973	0.28538327204659963	0.130353128279608	0.2031227503419761
Axial length	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
B cell malignancies  chronic lymphocytic leukemia  Hodgkin lymphoma or multiple myeloma   pleiotropy	0.16201522243753047	0.38687587968402687	0.9454732405189552	0.21807557628687838	0.2031227503419761
BMI  adjusted for smoking behaviour	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.12718443215548153
BMI in non smokers	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
BMI in smokers	0.16201522243753047	0.10426761552559442	0.28538327204659963	0.21807557628687838	0.2031227503419761
Barrett s esophagus	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Barrett s esophagus or Esophageal adenocarcinoma	0.16201522243753047	0.08214291747592715	0.28538327204659963	0.19030074316132792	0.13114267975826277
Basal cell carcinoma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.3818656760909537	0.6846583398511822
Basophil percentage of granulocytes	0.030114253766034427	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Basophil percentage of white cells	0.05786018705426767	0.1804332961296298	0.28538327204659963	0.11984030511241577	0.2031227503419761
Benign prostatic hyperplasia and lower urinary tract symptoms	0.16201522243753047	0.38687587968402687	0.28538327204659963	0.2769374533871752	0.7429430492836302
Benign prostatic hyperplasia and lower urinary tract symptoms  prostate cancer excluded	0.16201522243753047	0.347577656888173	0.28538327204659963	0.29727246265647267	0.7436086118220406
Beta 2 microglubulin plasma levels	0.42945317577646125	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bipolar disorder	0.7530266165945985	0.5223528759975536	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bipolar disorder lithium response  categorical  or schizophrenia	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bipolar disorder lithium response  continuous  or schizophrenia	0.4165386626722557	0.6023189728973367	2.929385967567046	0.21807557628687838	0.2031227503419761
Birth weight	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Black vs  blond hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Black vs  red hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bladder cancer	0.16572595495792855	0.2743379439853808	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blond vs  brown black hair color	0.4165386626722557	0.3551924196119424	0.28538327204659963	0.16297205279443425	0.2031227503419761
Blond vs  brown hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blond vs non blond hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blood and toenail selenium levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blood metabolite levels	0.11187169514722724	0.08415547321928613	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blood metabolite ratios	0.11849170416252056	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.16533960260742164
Blood pressure	0.014199314784231585	0.03811733969696556	0.28538327204659963	0.21807557628687838	0.2031227503419761
Blood protein levels	1.272960632884996	0.19950771337859	0.28538327204659963	0.540795926749968	0.5867908503385652
Body fat distribution  arm fat ratio	0.014199314784231585	0.0394330735341973	0.28538327204659963	0.05484602752371076	0.031121979466266696
Body fat distribution  leg fat ratio	0.05413880079601312	0.1345785241472398	0.28538327204659963	0.21807557628687838	0.2031227503419761
Body fat distribution  trunk fat ratio	0.051495288324244964	0.1345785241472398	0.28538327204659963	0.21807557628687838	0.13404189676599676
Body fat percentage	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.047155693894117945	0.022826108660987474
Body mass index	0.04132310025395797	0.0595781075426853	0.1754313013832623	0.06440926197831996	0.022807844756808793
Body mass index  joint analysis main effects and physical activity interaction	0.0823859052628076	0.04877256945246841	0.28538327204659963	0.055504734198446294	0.027895618817446788
Body mass index  joint analysis main effects and smoking interaction	0.16201522243753047	0.12611377663074555	0.28538327204659963	0.21807557628687838	0.15194988970551088
Body mass index age greaterthan 50	0.13134936857802285	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Body mass index age lessthan 50	0.0823859052628076	0.13047109026050258	0.28538327204659963	0.21807557628687838	0.2031227503419761
Body mass index in physically active individuals	0.1637470158160881	0.1804332961296298	0.28538327204659963	0.21134902102581837	0.13404189676599676
Body mass index in physically inactive individuals	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Body mass index x sex x age interaction  4df test	0.0823859052628076	0.12130694881454451	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  hip	0.08547321871054112	0.1321289038003192	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  paediatric  lower limb	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  paediatric  skull	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  paediatric  total body less head	0.11927328875097672	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  paediatric  upper limb	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone mineral density  spine	0.12874216218359041	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone properties  heel	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone ultrasound measurement  broadband ultrasound attenuation	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Bone ultrasound measurement  velocity of sound	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Brain connectivity	0.15101448199836986	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Branched chain amino acid levels  Isoleucine	0.30312368239136156	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Breast cancer	0.8610148496626036	0.9965848209682938	0.28538327204659963	2.586603704158167	2.40367901650602
Breast cancer  early onset	0.4165386626722557	0.5944303630809384	0.28538327204659963	0.21807557628687838	0.2031227503419761
Breast cancer  estrogen receptor negative	0.16201522243753047	0.24320713205581243	0.28538327204659963	0.14090656691266787	0.08780057912489643
Breast size	0.060773536254852725	0.10167517914220366	0.28538327204659963	0.21807557628687838	0.2031227503419761
Broad depression or schizophrenia	0.08255924355302695	0.12130694881454451	0.9482795966465993	0.21807557628687838	0.2031227503419761
Brown vs  black hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.09387735102707223	0.18198531671967164
Brown vs  non brown hair color	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
C reactive protein	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
C reactive protein levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.15430643688119428	0.18165220359195966
Caffeine metabolism  plasma 1 7 dimethylxanthine  paraxanthine  to 1 3 7 trimethylxanthine  caffeine  ratio	0.3281098864170919	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Calcium levels	0.14895058567535274	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.5495205390983537
Cancer  pleiotropy	0.18048301318758575	0.29372673047981457	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cannabis use	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cardiometabolic and hematological traits	0.2369736762742422	0.3551924196119424	0.28538327204659963	0.8402997067510368	0.5867908503385652
Cardiovascular disease risk factors	0.28517248466616185	0.1804332961296298	2.042966637304311	0.21807557628687838	0.2031227503419761
Carotid intima media thickness	0.1437613822647792	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Carotid plaque	0.5052637739963654	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Carpal tunnel syndrome	0.0823859052628076	0.12130694881454451	0.28538327204659963	0.21807557628687838	0.2031227503419761
Celiac disease	8.332748044837075	6.753414848987647	0.28538327204659963	6.508899155908154	5.2267005936499755
Celiac disease or Rheumatoid arthritis	3.2619992944165426	2.8235000233587235	0.9989885600423335	1.3178255458189543	1.0617351012565621
Central corneal thickness	0.051495288324244964	0.0823796150774844	0.28538327204659963	0.10492695578573191	0.2031227503419761
Cerebrospinal fluid AB1 42 levels	1.2114249823541012	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cerebrospinal fluid t tau AB1 42 ratio	0.043337637465881346	0.06664428005841572	0.31015695871309745	0.21807557628687838	0.2031227503419761
Childhood body mass index	0.1592901938025288	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Childhood ear infection	0.16201522243753047	0.18670810719673817	0.28538327204659963	0.21807557628687838	0.2031227503419761
Chin dimples	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cholesterol  total	0.4575099559172748	0.347577656888173	0.28538327204659963	0.21807557628687838	0.3730253581271534
Chronic inflammatory diseases  ankylosing spondylitis  Crohn s disease  psoriasis  primary sclerosing cholangitis  ulcerative colitis   pleiotropy	12.87998576274652	8.625466311724493	0.393117657818693	3.4857446855716616	2.42739757346703
Chronic kidney disease	0.09140680413726876	0.15492091277413042	0.28538327204659963	0.21807557628687838	0.2031227503419761
Chronic lymphocytic leukemia	1.1971796868204552	0.585831457248255	1.594771772717133	0.5501947973274686	0.7695660942603187
Chronic obstructive pulmonary disease	0.1274259144372532	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.168431467278483
Chronic obstructive pulmonary disease  severe	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Chronic obstructive pulmonary disease or high blood pressure  pleiotropy	0.18048301318758575	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Chronic obstructive pulmonary disease or resting heart rate  pleiotropy	0.3281098864170919	0.22267622354755315	0.28538327204659963	0.10910243175381035	0.07555384525798028
Chronic obstructive pulmonary disease related biomarkers	0.9288484999293334	1.3979699481838646	0.28538327204659963	0.21807557628687838	0.2031227503419761
Chronotype	0.1592901938025288	0.1804332961296298	0.20239447272630257	0.09387735102707223	0.07020839591109955
Cigarettes smoked per day  MTAG	0.046423012353510686	0.06487029961320115	0.28538327204659963	0.06440926197831996	0.07246189361714765
Cleft lip with or without cleft palate	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Clinical laboratory measurements	0.16572595495792855	0.3551924196119424	0.28538327204659963	0.7303409005350078	0.4302057763975353
Clopidogrel active metabolite levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Coffee consumption	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Coffee consumption  cups per day	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cognitive ability	0.0500503256995599	0.08523567589094987	0.28538327204659963	0.10910243175381035	0.07719264180256295
Cognitive ability  MTAG	0.07067710778299995	0.10965738351588222	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cognitive decline rate in late mild cognitive impairment	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.3850636763246503
Cognitive function	0.16201522243753047	0.182501514087534	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cognitive performance	0.03143250799336094	0.05120534964603362	0.21134027217565088	0.21807557628687838	0.07719264180256295
Cognitive performance  MTAG	4.34294699063126e-07	8.68589832373386e-07	0.27983065132409624	0.011202263649417085	4.34294699063126e-07
Colorectal cancer	0.16201522243753047	0.07087633425537994	0.28538327204659963	0.21807557628687838	0.06762157618389049
Colorectal cancer or advanced adenoma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.07367903220302799	0.03759342108823982
Common traits  Other	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Corneal structure	0.060427352896042306	0.09008507736015008	0.28538327204659963	0.21807557628687838	0.17336288684694462
Coronary artery disease	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Coronary artery disease  myocardial infarction  percutaneous transluminal coronary angioplasty  coronary artery bypass grafting  angina or chromic ischemic heart disease	0.07290980700238081	0.026152630689815017	0.28538327204659963	0.21807557628687838	0.1575948065704972
Coronary heart disease	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.7531583502065795
Corrected insulin response	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cotinine glucuronidation	0.718826056004394	0.19950771337859	0.28538327204659963	0.21807557628687838	0.19864104780136072
Creatinine levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Crohn s disease	8.332748044837075	4.929294870748197	0.28538327204659963	3.4857446855716616	4.237458534449719
Cutaneous malignant melanoma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.4728351799133166	0.3103318812533561
Cutaneous psoriasis	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Cutaneous squamous cell carcinoma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
DNA methylation  parent of origin	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Dehydroepiandrosterone sulphate levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Dentate gyrus granule cell layer volume	0.29523808405211005	0.3779556368257478	0.28538327204659963	0.21807557628687838	0.2031227503419761
Dentate gyrus molecular layer volume	0.2369736762742422	0.32680558042527813	0.28538327204659963	0.21807557628687838	0.2031227503419761
Depressed affect	4.34294699063126e-07	0.0033637589659675803	0.28538327204659963	0.02668333834110382	0.00696542381660256
Depression	4.34294699063126e-07	8.68589832373386e-07	0.28538327204659963	0.010009523456401515	0.0003448217160796198
Depression  broad	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.15708640384504435	0.10624651106042546
Depressive symptoms	4.34294699063126e-07	0.0019813988182001687	0.18736996026232916	0.02668333834110382	0.0013755645020762796
Depressive symptoms  MTAG	0.1511210487674976	0.1804332961296298	0.28538327204659963	0.0952005961031532	0.04601567934003294
Diastolic blood pressure	0.1970661683974728	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Diastolic blood pressure  cigarette smoking interaction	0.07067710778299995	0.13533371768321859	0.28538327204659963	0.29727246265647267	0.2031227503419761
Diastolic blood pressure x alcohol consumption  light vs heavy  interaction  2df test	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.2503361563190118	0.2031227503419761
Diastolic blood pressure x alcohol consumption interaction  2df test	0.08255924355302695	0.07988913862855007	0.28538327204659963	0.21807557628687838	0.1850124046326948
Diastolic blood pressure x smoking status  current vs non current  interaction  1df test	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Diastolic blood pressure x smoking status  current vs non current  interaction  2df test	0.16201522243753047	0.04003008708691315	0.28538327204659963	0.11583774489899812	0.2031227503419761
Diastolic blood pressure x smoking status  ever vs never  interaction  2df test	0.16201522243753047	0.1804332961296298	0.43038505232326574	0.19473624327778086	0.2031227503419761
Diffuse large B cell lymphoma	0.40923314722700516	0.48960241782179315	0.28538327204659963	0.8210647814952341	0.6042882717645454
Digit length ratio	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Digit length ratio  left hand	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Digit length ratio  right hand	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Diisocyanate induced asthma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Disease progression in age related macular degeneration	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Diverticular disease	0.0625459295546208	0.01561759762073947	0.28538327204659963	0.21807557628687838	0.2031227503419761
Dupuytren s disease	0.11677257593082316	0.06487029961320115	0.28538327204659963	0.21807557628687838	0.15302192659110153
Ear morphology	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Ease of getting up in the morning	0.42945317577646125	0.585831457248255	0.28538327204659963	0.960366389530829	0.8184209814819022
Educational attainment	0.29523808405211005	0.46060282574390654	0.28538327204659963	0.21807557628687838	0.2031227503419761
Educational attainment  MTAG	4.34294699063126e-07	8.68589832373386e-07	0.28538327204659963	3.5613607693949916e-05	4.34294699063126e-07
Educational attainment  college completion	0.13765957056189926	0.1804332961296298	0.28538327204659963	0.5675690263857316	0.4302057763975353
Educational attainment  years of education	4.34294699063126e-07	8.68589832373386e-07	0.28538327204659963	3.5613607693949916e-05	4.34294699063126e-07
Electrocardiographic conduction measures	0.18048301318758575	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Electrocardiographic traits	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Emphysema distribution in smoking	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Emphysema imaging phenotypes	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
End stage coagulation	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Endometrial cancer	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Endometrial cancer  endometrioid histology	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Endometrial endometrioid carcinoma	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Endometriosis	0.0858458188401907	0.13808417192695865	0.28538327204659963	0.21807557628687838	0.2031227503419761
Energy expenditure	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Eosinophil counts	10.461170228574296	8.7300684303915	1.1726495203909255	1.1176532374636834	1.8552813465647937
Eosinophil percentage of granulocytes	9.283845765248552	6.753414848987647	1.594771772717133	0.6731019997364301	0.7402420852923703
Eosinophil percentage of white cells	12.04242024945565	11.206635030714342	0.9299502884514227	0.8489342623417003	0.7531583502065795
Eosinophilic esophagitis	0.5794618649152373	0.8576313938673301	0.28538327204659963	0.21807557628687838	0.2031227503419761
Eotaxin levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Epilepsy	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
